I_BON_001	Beast Bone
W_TSW_0019	Legate's Blade
W_TSW_0020	Berserker's Blade
W_TSW_0021	Brilliant Blade
W_TSW_0022	Metal King Gooreatsword
W_TSW_0023	Cobblestone Greatsword
W_TSW_0024	Sword of Shadows
W_TSW_0025	Sword of Shadows (used vs Jasper)
W_WHP_0001	Thorn Whip
W_WHP_0002	Battle Whip
W_WHP_0003	Hypnowhip
W_WHP_0004	Rosewhip
W_WHP_0005	Beastly Bullwhip
W_WHP_0006	Scorpion Tail
W_WHP_0007	Dragontail Whip
W_WHP_0008	Demon Whip
W_WHP_0009	Queen's Whip
W_WHP_0010	Archdemon Whip
W_WHP_0011	Empress's Whip
W_WHP_0012	Beelzebarb
W_WHP_0013	Gringham Whip
W_WHP_0014	Goddess Whip
W_WHP_0015	Mega Gringham Whip
W_WHP_0016	Triple-Tine Whip
W_WHP_0017	Giga Gringham Whip
W_WHP_0018	Malevolash
W_WHP_0019	Anchor of Rancour
W_WHP_0020	Hellbeast's Leash
W_WHP_0021	Uber Gringham Whip
E_SHI_0001	Pot Lid
E_SHI_0002	Leather Shield
E_SHI_0003	Scale Shield
E_SHI_0004	Silver Platter
E_SHI_0005	Gold Platter
E_SHI_0006	Light Shield
E_SHI_0007	Platinum Platter
E_SHI_0008	Magic Shield
E_SHI_0009	Flame Shield
E_SHI_0010	Enchanted Shield
E_SHI_0011	White Shield
E_SHI_0012	Metal Slime Shield
E_SHI_0013	Ice Shield
E_SHI_0014	Brain Drainer
E_SHI_0015	Ethereal Shield
E_SHI_0016	Silver Shield
E_SHI_0017	Liquid Metal Shield
E_SHI_0018	Psyche Swiper
E_SHI_0019	Devilry Drinker
E_SHI_0020	Erdwin's Shield
E_SHI_0021	Metal King Shield
E_SHI_0022	Soul Sucker
E_SHI_0998	Tempest Shield
E_LSH_0001	Bronze Shield
E_LSH_0002	Iron Shield
E_LSH_0003	Steel Shield
E_LSH_0004	Shield of Heliodor
E_LSH_0005	Platinum Shield
E_LSH_0006	Warrior's Shield
E_LSH_0007	Dragon Shield
E_LSH_0008	Dark Shield
E_LSH_0009	Saintess Shield
E_LSH_0010	Ogre Shield
E_LSH_0011	Ruinous Shield
E_LSH_0012	Goddess Shield
E_LSH_0013	Drustan's Shield
E_HAT_0001	Bandana
E_HAT_0002	Leather Hat
E_HAT_0003	Hairband
E_HAT_0004	Pointy Hat
E_HAT_0005	Turban
E_HAT_0006	Feathered Cap
E_HAT_0007	Bunny Ears
E_HAT_0008	Stone Hardhat
E_HAT_0009	Fur Hood
E_HAT_0010	Hermes' Hat
E_HAT_0011	Coral Hairpin
E_HAT_0012	Bronze Helmet
E_HAT_0013	Mercury's Bandana
E_HAT_0014	Silver Tiara
E_HAT_0015	Magical Hat
E_HAT_0016	Pirate's Hat
E_HAT_0017	Gold Circlet
E_HAT_0018	Thief's Turban
E_HAT_0019	Feather Headband
E_HAT_0020	Tricky Turban
E_HAT_0021	Hocus Hat
E_HAT_0022	Happy Hat
E_HAT_0023	Scholar's Cap
E_HAT_0024	Disturbin' Turban
E_HAT_0025	Malleable Mask
E_HAT_0026	Star Circlet
E_HAT_0027	Papillon Mask
E_HAT_0028	Swindler's Scarf
E_HAT_0029	Cat Hat
E_HAT_0030	Null (hat 30)
E_HAT_0031	Null (hat 31)
E_HAT_0032	Minister's Mitre
E_HAT_0033	Cavalier Hat
E_HAT_0034	Witch's Hat
E_HAT_0035	Golden Tiara
E_HAT_0036	Phantom Mask
E_HAT_0037	Freebooter's Bandana
E_HAT_0038	Null (38)
E_HAT_0039	Stellar Starflower
E_HAT_0040	Dragon Bandana
E_HAT_0041	Spring Breeze Hat
E_HAT_0042	Summer Cloud Hat
E_HAT_0043	Autumn Shower Hat
E_HAT_0044	Winter Sky Hat
E_HAT_0045	Pirate King's Cap
E_HAT_0046	Swindler King's Scarf
E_HAT_0047	Crown of Eternity
E_HAT_0048	Tiara Tremenda
E_HAT_0049	Null (hat 49)
E_HAT_0050	Xenlon Hair Ring
E_HAT_0051	Serenica's Circlet
E_HAT_0052	Cute Cap
E_HAT_0053	Bonny Band
E_HAT_0054	Tiara Tremendisima
E_HAT_0055	Null (hat 55)
E_HAT_0056	Corsair's Cap
E_HAT_0057	Trodain Bandana
E_HAT_0058	Null (Artisinal Trodian Bandana)
E_HAT_0301	Baby Boar Hat
E_HAT_0999	Black Cat Hat
E_HEL_0001	Iron Helmet
E_HEL_0002	Null (helm 2)
E_HEL_0003	Iron Mask
E_HEL_0004	Steel Helmet
E_HEL_0005	Warrior's Helm
E_HEL_0006	Null (helm 6)
E_HEL_0007	Platinum Headgear
E_HEL_0008	Iron Headgear
E_HEL_0009	Hades' Helm
E_HEL_0010	Mythril Helm
E_HEL_0011	Thinking Cap
E_HEL_0012	Raging Bull Helm
E_HEL_0013	Great Helm
E_HEL_0014	Metal Slime Helm
E_HEL_0015	Drasilian Helm
E_HEL_0016	Goddess's Tiara
E_HEL_0017	Warrior Princess's Headdress
E_HEL_0018	Crown of Dundrasil
E_HEL_0019	Skull Helm
E_HEL_0020	Liquid Metal Helm
E_HEL_0021	Null (helm 21)
E_HEL_0022	Metal King Helm
E_HEL_0023	Heavenly Helm
E_HEL_0024	Erdwin's Coronet
E_HEL_0025	Irwin's Helm
E_HEL_0026	Sacred Circlet
E_HEL_0027	Minerva's Tiara
E_HEL_0028	Sun Crown
E_HEL_0029	Yggdrasil Crown
E_HEL_0030	Drustan's Helm
E_HEL_0031	Apollo's Crown
E_CLO_0001	Mardi Garb
E_CLO_0002	Plain Clothes
E_CLO_0003	Wayfarer's Clothes
E_CLO_0004	Boxer Shorts
E_CLO_0005	Templar's Uniform
E_CLO_0006	Leather Dress
E_CLO_0007	Leather Cape
E_CLO_0008	Null (clothes 8)
E_CLO_0009	Fur Poncho
E_CLO_0010	Cloak of Evasion
E_CLO_0011	Posh Waistcoat
E_CLO_0012	Pretty Pinny
E_CLO_0013	Dainty Dress
E_CLO_0014	Smart Suit
E_CLO_0015	Silk Bustier
E_CLO_0016	Spangled Dress
E_CLO_0017	Magical Skirt
E_CLO_0018	Velvet Cape
E_CLO_0019	Dragon Dojo Duds
E_CLO_0020	Uniforme de l'Academie
E_CLO_0021	Hairy Vest
E_CLO_0022	Strongsam
E_CLO_0023	Shimmering Dress
E_CLO_0024	Twinkling Tuxedo
E_CLO_0025	Rogue's Robes
E_CLO_0026	Macabre Mantle
E_CLO_0027	Saintess Dress
E_CLO_0028	Dancer's Costume
E_CLO_0029	Divine Bustier
E_CLO_0030	Null (clothes 30)
E_CLO_0031	Null (clothes 31)
E_CLO_0032	Null (clothes 32)
E_CLO_0033	Scandalous Swimsuit
E_CLO_0034	Agility Gilet
E_CLO_0035	Swindler's Stole
E_CLO_0036	Cat Suit
E_CLO_0037	Dapper Doublet
E_CLO_0038	Drasilian Dress Coat
E_CLO_0039	General's Jacket
E_CLO_0040	Star's Suit
E_CLO_0041	Null (clothes 41)
E_CLO_0042	Combat Costume
E_CLO_0043	Brigandine
E_CLO_0044	Liquid Metal Jacket
E_CLO_0045	Superstar's Suit
E_CLO_0046	Freebooter's Bolero
E_CLO_0047	Null (clothes 47)
E_CLO_0048	Dragonskin Jacket
E_CLO_0049	Stellar Suit
E_CLO_0050	Metal King Jacket
E_CLO_0051	Exotoga
E_CLO_0052	Erdwin's Tunic
E_CLO_0053	Pirate King's Coat
E_CLO_0054	Swindler King's Stole
E_CLO_0055	Serenica's Surplice
E_CLO_0056	Sacred Raiment
E_CLO_0057	Glad Rags
E_CLO_0058	Dashing Doublet
E_CLO_0059	Xenlon Gown
E_CLO_0060	Pallium Regale
E_CLO_0061	Yggdrasil Dress Coat
E_CLO_0062	Field Marshal's Finery
E_CLO_0063	Cobblestone Clobber
E_CLO_0064	Bunny Suit
E_CLO_0065	Corsair's Coat
E_CLO_0066	Potentate's Pallium
E_CLO_0067	Gladder Rags
E_CLO_0068	Hot Bikini
E_CLO_0069	Arriviste's Vest
E_CLO_0070	Elevating Vest
E_CLO_0071	Vest for Success
E_CLO_0072	Trodain Togs
E_CLO_0073	Null (Artisinal Trodian Togs)
E_CLO_0301	Peerless Parade Costume
E_CLO_0302	Assassin's Attire
E_CLO_0303	Battle Dress
E_CLO_0304	The Hare-Raiser
E_CLO_0305	Grand Master's Garb
E_CLO_0306	Baby Boar Costume
E_CLO_0307	Wolf Wear
E_CLO_0995	Black Cat Costume
E_CLO_0996	Divine Dancer's Costume
E_CLO_0997	Uniforme Chic de l'Academie
E_CLO_0998	Crimson Catsuit
E_ARM_0001	Leather Armour
E_ARM_0002	Scale Armour
E_ARM_0003	Chain Mail
E_ARM_0004	Bronze Armour
E_ARM_0005	Iron Cuirass
E_ARM_0006	Iron Armour
E_ARM_0007	Tortoise Shell
E_ARM_0008	Full Plate Armour
E_ARM_0009	Zombie Mail
E_ARM_0010	Silver Cuirass
E_ARM_0011	Silver Mail
E_ARM_0012	Heavy Armour
E_ARM_0013	Magic Armour
E_ARM_0014	Dancer's Mail
E_ARM_0015	Dragon Mail
E_ARM_0016	Spiked Armour
E_ARM_0017	Platinum Mail
E_ARM_0018	Bandit Mail
E_ARM_0019	Mirror Armour
E_ARM_0020	Metal Slime Armour
E_ARM_0021	Drasilian Armour
E_ARM_0022	Hendrik's Armour
E_ARM_0023	Gigant Armour
E_ARM_0024	Liquid Metal Armour
E_ARM_0025	Sacred Armour
E_ARM_0026	Metal King Armour
E_ARM_0027	Legendary Armour
E_ARM_0028	Irwin's Armour
E_ARM_0029	Drustan's Armour
E_ARM_0030	Gallopitan Garb
E_ARM_0301	Wolf Dragon Armour
E_ARM_0302	Coraza de Caballero
E_ARM_0303	Twin Eagle Armour
E_ARM_0998	Tectonic Plate
E_ROB_0001	Silk Robe
E_ROB_0002	Fizzle-Retardant Suit
E_ROB_0003	Fizzle-Retardant Blouse
E_ROB_0004	Robe of Serenity
E_ROB_0005	Magic Vestment
E_ROB_0006	Glombolero
E_ROB_0007	Sage's Robe
E_ROB_0008	Wizard's Robe
E_ROB_0009	Witch's Robe
E_ROB_0010	Prince's Pea Coat
E_ROB_0011	King's Coat
E_ROB_0012	Queen's Robe
E_ROB_0013	Emperor's Attire
E_ROB_0014	Empress's Robe
E_ROB_0015	Warrior Princess's Dress
E_ROB_0016	Angel's Robe
E_ROB_0017	Crimson Robe
E_ROB_0018	Flowing Dress
E_ROB_0019	Dark Robe
E_ROB_0020	Dragon Robe
E_ROB_0021	Seraph's Robe
E_ROB_0022	Gown of Eternity
E_ROB_0023	Minerva's Raiment
E_ROB_0024	Princess's Robe
E_ROB_0301	Little Angel's Frock
E_ROB_0302	Little Devil's Dress
A_FAC_0001	Slime Earrings
A_FAC_0002	Safety Goggles
A_FAC_0003	Asbestos Earrings
A_FAC_0004	Anti-Freeze Earrings
A_FAC_0005	Rubber Earrings
A_FAC_0006	Aerofoil Earrings
A_FAC_0007	Concrete Earrings
A_FAC_0008	Mirror Earrings
A_FAC_0009	Cinderblock Earrings
A_FAC_0010	All-Weather Earrings
A_FAC_0011	Blackout Earrings
A_FAC_0012	Scholar's Specs
A_NEC_0001	Wings of Serendipity
A_NEC_0002	Gold Rosary
A_NEC_0003	Null (necklace 3)
A_NEC_0004	Necklace of Immunity
A_NEC_0005	Full Moon Collar
A_NEC_0006	Rousing Rose Collar
A_NEC_0007	Star of Clarity
A_NEC_0008	Care Riviere
A_NEC_0009	Torc of Truth
A_NEC_0010	Protective Pendant
A_NEC_0011	Choker of Riddannce
A_NEC_0012	Gold Chain
A_NEC_0013	Token of Fealty
A_NEC_0014	Dogged Collar
A_NEC_0015	Bow Tie
A_NEC_0016	Papillon Pendant
A_NEC_0017	Pirate King's Pendant
A_NEC_0998	Rainbow Drop
A_ARM_0001	Gold Bracer
A_ARM_0002	Life Bracer
A_ARM_0003	Wristorative
A_ARM_0004	Mighty Armlet
A_ARM_0005	Spirit Bracer
A_ARM_0006	Brainy Bracer
A_ARM_0007	Meteorite Bracer
A_HAN_0001	Robber Gloves
A_HAN_0002	Mayoress's Mittens
A_HAN_0003	Gloomy Gloves
A_HAN_0004	Null (hand 4)
A_HAN_0005	Murky Mittens
A_HAN_0006	Brigand's Mitts
A_HAN_0007	Guru's Gloves
A_HAN_0008	Marquess's Mittens
A_HAN_0009	Freebooter's Gloves
A_HAN_0010	Enchantress's Gloves
A_HAN_0011	Minister's Mitts
A_HAN_0012	Monarch's Mittens
A_FIN_0001	Circle of Serendipity
A_FIN_0002	Strength Ring
A_FIN_0003	Pink Pearl Ring
A_FIN_0004	Prayer Ring
A_FIN_0005	Care Ring
A_FIN_0006	Ring of Riddance
A_FIN_0007	Gold Ring
A_FIN_0008	Ring of Immunity
A_FIN_0009	Ring of Truth
A_FIN_0010	Full Moon Ring
A_FIN_0011	Rousing Ring
A_FIN_0012	Ring of Clarity
A_FIN_0013	Sorcerer's Ring
A_FIN_0014	Agility Ring
A_FIN_0015	Skull Ring
A_FIN_0016	Life Ring
A_FIN_0017	Catholicon Ring
A_FIN_0018	Goddess Ring
A_FOO_0001	Fishnet Stockings
A_SHO_0001	Springheal Boots
A_SHO_0002	Caligae of Clarity
A_SHO_0003	Angel's Sandals
A_SHO_0004	Archangel's Boots
A_SHO_0005	General's Jackboots
A_SHO_0006	Field Marshal's Footwear
A_SHO_0998	Elevating Shoes
A_OTH_0001	Gemma's Charm
A_OTH_0002	Bunny Tail
A_OTH_0003	Dragon Scale
A_OTH_0004	Garter
A_OTH_0005	Tough Guy Tattoo
A_OTH_0006	Utility Belt
A_OTH_0007	Rosary
A_OTH_0008	Bling-Bling Belt
A_OTH_0009	Titan Belt
A_OTH_0010	Sorcerer's Stone
A_OTH_0011	Holy Talisman
A_OTH_0012	Devil's Tail
A_OTH_0013	Ruby of Protection
A_OTH_0014	Earthwyrm's Eye
A_OTH_0015	Lucky Dragon's Wing
A_OTH_0016	Sovereign Seal
A_OTH_0017	Venus' Tear
A_OTH_0018	Monarchic Mark
A_OTH_0019	Elfin Charm
A_OTH_0020	Null (other 20)
A_OTH_0021	Null (other 21)
A_OTH_0022	Natty Cravat
A_OTH_0023	Suave Scarf
A_OTH_0024	Gemma's Eternal Charm
A_OTH_0025	Ogler's Digest
A_OTH_0026	Ring of Changes
A_OTH_0027	Healer
A_OTH_0028	Supplicant
A_OTH_0029	Assassin
A_OTH_0030	Mystic
A_OTH_0031	Vanguard
A_OTH_0032	Shield-Bearer
A_OTH_0033	Warlock
A_OTH_0034	Trickster
A_OTH_0035	Traveller's Hood
