I_BON_001	けもののホネ
A_FIN_0017	スーパーリング
A_FIN_0018	女神のゆびわ
A_FIN_1001	きせきのゆびわ＋１
A_FIN_1002	ちからのゆびわ＋１
A_FIN_1003	ピンクパールリング＋１
A_FIN_1004	いのりのゆびわ＋１
A_FIN_1005	はくあいのゆびわ＋１
A_FIN_1006	破呪のリング＋１
A_FIN_1007	きんのゆびわ＋１
A_FIN_1008	破毒のリング＋１
A_FIN_1009	破幻のリング＋１
A_FIN_1010	まんげつのリング＋１
A_FIN_1011	めざましリング＋１
A_FIN_1012	りせいのリング＋１
A_FIN_1013	ソーサリーリング＋１
A_FIN_1014	はやてのリング＋１
A_FIN_1015	ドクロのゆびわ＋１
A_FIN_1016	命のゆびわ＋１
A_FIN_1017	スーパーリング＋１
A_FIN_1018	女神のゆびわ＋１
A_FIN_2001	きせきのゆびわ＋２
A_FIN_2002	ちからのゆびわ＋２
A_FIN_2003	ピンクパールリング＋２
A_FIN_2004	いのりのゆびわ＋２
A_FIN_2005	はくあいのゆびわ＋２
A_FIN_2006	破呪のリング＋２
A_FIN_2007	きんのゆびわ＋２
A_FIN_2008	破毒のリング＋２
A_FIN_2009	破幻のリング＋２
A_FIN_2010	まんげつのリング＋２
A_FIN_2011	めざましリング＋２
A_FIN_2012	りせいのリング＋２
A_FIN_2013	ソーサリーリング＋２
A_FIN_2014	はやてのリング＋２
A_FIN_2015	ドクロのゆびわ＋２
A_FIN_2016	命のゆびわ＋２
A_FIN_2017	スーパーリング＋２
A_FIN_2018	女神のゆびわ＋２
A_FIN_3001	きせきのゆびわ＋３
A_FIN_3002	ちからのゆびわ＋３
A_FIN_3003	ピンクパールリング＋３
A_FIN_3004	いのりのゆびわ＋３
A_FIN_3005	はくあいのゆびわ＋３
A_FIN_3006	破呪のリング＋３
A_FIN_3007	きんのゆびわ＋３
A_FIN_3008	破毒のリング＋３
A_FIN_3009	破幻のリング＋３
A_FIN_3010	まんげつのリング＋３
A_FIN_3011	めざましリング＋３
A_FIN_3012	りせいのリング＋３
A_FIN_3013	ソーサリーリング＋３
A_FIN_3014	はやてのリング＋３
A_FIN_3015	ドクロのゆびわ＋３
A_FIN_3016	命のゆびわ＋３
A_FIN_3017	スーパーリング＋３
A_FIN_3018	女神のゆびわ＋３
A_FOO_0001	あみタイツ
A_FOO_1001	あみタイツ＋１
A_FOO_2001	あみタイツ＋２
A_FOO_3001	あみタイツ＋３
A_HAN_0001	ぬすっとのグローブ
A_HAN_0002	きふじんのてぶくろ
A_HAN_0003	くらやみのミトン
A_HAN_0005	やみわだのミトン
A_HAN_0006	バンデッドグローブ
A_HAN_0007	さとりのてぶくろ
A_HAN_0008	ひめのてぶくろ
A_HAN_0009	無法者のグローブ
A_HAN_0010	まじょのてぶくろ
A_HAN_0011	神官のグローブ
A_HAN_0012	女王のてぶくろ
A_HAN_1001	ぬすっとのグローブ＋１
A_HAN_1002	きふじんのてぶくろ＋１
A_HAN_1003	くらやみのミトン＋１
A_HAN_1005	やみわだのミトン＋１
A_HAN_1006	バンデッドグローブ＋１
A_HAN_1007	さとりのてぶくろ＋１
A_HAN_1008	ひめのてぶくろ＋１
A_HAN_1009	無法者のグローブ＋１
A_HAN_1010	まじょのてぶくろ＋１
A_HAN_1011	神官のグローブ＋１
A_HAN_1012	女王のてぶくろ＋１
A_HAN_2001	ぬすっとのグローブ＋２
A_HAN_2002	きふじんのてぶくろ＋２
A_HAN_2003	くらやみのミトン＋２
A_HAN_2005	やみわだのミトン＋２
A_HAN_2006	バンデッドグローブ＋２
A_HAN_2007	さとりのてぶくろ＋２
A_HAN_2008	ひめのてぶくろ＋２
A_HAN_2009	無法者のグローブ＋２
A_HAN_2010	まじょのてぶくろ＋２
A_HAN_2011	神官のグローブ＋２
A_HAN_2012	女王のてぶくろ＋２
A_HAN_3001	ぬすっとのグローブ＋３
A_HAN_3002	きふじんのてぶくろ＋３
A_HAN_3003	くらやみのミトン＋３
A_HAN_3005	やみわだのミトン＋３
A_HAN_3006	バンデッドグローブ＋３
A_HAN_3007	さとりのてぶくろ＋３
A_HAN_3008	ひめのてぶくろ＋３
A_HAN_3009	無法者のグローブ＋３
A_HAN_3010	まじょのてぶくろ＋３
A_HAN_3011	神官のグローブ＋３
A_HAN_3012	女王のてぶくろ＋３
A_NEC_0001	きせきのネックレス
A_NEC_0002	きんのロザリオ
A_NEC_0004	破毒のネックレス
A_NEC_0005	まんげつの首飾り
A_NEC_0006	めざましチョーカー
A_NEC_0007	りせいのネックレス
A_NEC_0008	破封のネックレス
A_NEC_0009	破幻のネックレス
A_NEC_0010	不惑のネックレス
A_NEC_0011	破邪のネックレス
A_NEC_0012	きんのネックレス
A_NEC_0013	誓いのペンダント
A_NEC_0014	バトルチョーカー
A_NEC_0015	ちょうネクタイ
A_NEC_0016	ようせいの首飾り
A_NEC_0017	海賊王の首飾り
A_NEC_1001	きせきのネックレス＋１
A_NEC_1002	きんのロザリオ＋１
A_NEC_1004	破毒のネックレス＋１
A_NEC_1005	まんげつの首飾り＋１
A_NEC_1006	めざましチョーカー＋１
A_NEC_1007	りせいのネックレス＋１
A_NEC_1008	破封のネックレス＋１
A_NEC_1009	破幻のネックレス＋１
A_NEC_1010	不惑のネックレス＋１
A_NEC_1011	破邪のネックレス＋１
A_NEC_1012	きんのネックレス＋１
A_NEC_1013	誓いのペンダント＋１
A_NEC_1014	バトルチョーカー＋１
A_NEC_1015	ちょうネクタイ＋１
A_NEC_1016	ようせいの首飾り＋１
A_NEC_1017	海賊王の首飾り＋１
A_NEC_2001	きせきのネックレス＋２
A_NEC_2002	きんのロザリオ＋２
A_NEC_2004	破毒のネックレス＋２
A_NEC_2005	まんげつの首飾り＋２
A_NEC_2006	めざましチョーカー＋２
A_NEC_2007	りせいのネックレス＋２
A_NEC_2008	破封のネックレス＋２
A_NEC_2009	破幻のネックレス＋２
A_NEC_2010	不惑のネックレス＋２
A_NEC_2011	破邪のネックレス＋２
A_NEC_2012	きんのネックレス＋２
A_NEC_2013	誓いのペンダント＋２
A_NEC_2014	バトルチョーカー＋２
A_NEC_2015	ちょうネクタイ＋２
A_NEC_2016	ようせいの首飾り＋２
A_NEC_2017	海賊王の首飾り＋２
A_NEC_3001	きせきのネックレス＋３
A_NEC_3002	きんのロザリオ＋３
A_NEC_3004	破毒のネックレス＋３
A_NEC_3005	まんげつの首飾＋３
A_NEC_3006	めざましチョーカー＋３
A_NEC_3007	りせいのネックレス＋３
A_NEC_3008	破封のネックレス＋３
A_NEC_3009	破幻のネックレス＋３
A_NEC_3010	不惑のネックレス＋３
A_NEC_3011	破邪のネックレス＋３
A_NEC_3012	きんのネックレス＋３
A_NEC_3013	誓いのペンダント＋３
A_NEC_3014	バトルチョーカー＋３
A_NEC_3015	ちょうネクタイ＋３
A_NEC_3016	ようせいの首飾り＋３
A_NEC_3017	海賊王の首飾り＋３
A_OTH_0001	エマのおまもり
A_OTH_0002	うさぎのしっぽ
A_OTH_0003	竜のうろこ
A_OTH_0004	ガーターベルト
A_OTH_0005	怒りのタトゥー
A_OTH_0006	しょくにんのベルト
A_OTH_0007	しんごんのじゅず
A_OTH_0008	おしゃれなベルト
A_OTH_0009	パワーベルト
A_OTH_0010	ひらめきのジュエル
A_OTH_0011	まよけの聖印
A_OTH_0012	あくまのしっぽ
A_OTH_0013	まもりのルビー
A_OTH_0014	大地の竜玉
A_OTH_0015	竜のおまもり
A_OTH_0016	ロイヤルチャーム
A_OTH_0017	ビーナスのなみだ
A_OTH_0018	ロイヤルバッジ
A_OTH_0019	エルフのおまもり
A_OTH_0022	ハンサムスカーフ
A_OTH_0023	カリスマスカーフ
A_OTH_0024	エマのおまもり・真
A_OTH_0025	エッチな本
A_OTH_0026	イメチェンリング
A_OTH_0027	いやしのカード
A_OTH_0028	いのりのカード
A_OTH_0029	会心のカード
A_OTH_0030	集中のカード
A_OTH_0031	しっぷうのカード
A_OTH_0032	まもりのカード
A_OTH_0033	暴走のカード
A_OTH_0034	みかわしのカード
A_OTH_0035	たびびとのフード
A_OTH_0036	思い出のリボン
A_OTH_1002	うさぎのしっぽ＋１
A_OTH_1003	竜のうろこ＋１
A_OTH_1004	ガーターベルト＋１
A_OTH_1005	怒りのタトゥー＋１
A_OTH_1006	しょくにんのベルト＋１
A_OTH_1007	しんごんのじゅず＋１
A_OTH_1008	おしゃれなベルト＋１
A_OTH_1009	パワーベルト＋１
A_OTH_1010	ひらめきのジュエル＋１
A_OTH_1011	まよけの聖印＋１
A_OTH_1012	あくまのしっぽ＋１
A_OTH_1013	まもりのルビー＋１
A_OTH_1014	大地の竜玉＋１
A_OTH_1015	竜のおまもり＋１
A_OTH_1016	ロイヤルチャーム＋１
A_OTH_1017	ビーナスのなみだ＋１
A_OTH_1018	ロイヤルバッジ＋１
A_OTH_1019	エルフのおまもり＋１
A_OTH_1022	ハンサムスカーフ＋１
A_OTH_1023	カリスマスカーフ＋１
A_OTH_1025	エッチな本＋１
A_OTH_1026	イメチェンリング＋１
A_OTH_1027	いやしのカード＋１
A_OTH_1028	いのりのカード＋１
A_OTH_1029	会心のカード＋１
A_OTH_1030	集中のカード＋１
A_OTH_1031	しっぷうのカード＋１
A_OTH_1032	まもりのカード＋１
A_OTH_1033	暴走のカード＋１
A_OTH_1034	みかわしのカード＋１
A_OTH_1035	たびびとのフード＋１
A_OTH_1036	思い出のリボン＋１
A_OTH_2002	うさぎのしっぽ＋２
A_OTH_2003	竜のうろこ＋２
A_OTH_2004	ガーターベルト＋２
A_OTH_2005	怒りのタトゥー＋２
A_OTH_2006	しょくにんのベルト＋２
A_OTH_2007	しんごんのじゅず＋２
A_OTH_2008	おしゃれなベルト＋２
A_OTH_2009	パワーベルト＋２
A_OTH_2010	ひらめきのジュエル＋２
A_OTH_2011	まよけの聖印＋２
A_OTH_2012	あくまのしっぽ＋２
A_OTH_2013	まもりのルビー＋２
A_OTH_2014	大地の竜玉＋２
A_OTH_2015	竜のおまもり＋２
A_OTH_2016	ロイヤルチャーム＋２
A_OTH_2017	ビーナスのなみだ＋２
A_OTH_2018	ロイヤルバッジ＋２
A_OTH_2019	エルフのおまもり＋２
A_OTH_2022	ハンサムスカーフ＋２
A_OTH_2023	カリスマスカーフ＋２
A_OTH_2025	エッチな本＋２
A_OTH_2026	イメチェンリング＋２
A_OTH_2027	いやしのカード＋２
A_OTH_2028	いのりのカード＋２
A_OTH_2029	会心のカード＋２
A_OTH_2030	集中のカード＋２
A_OTH_2031	しっぷうのカード＋２
A_OTH_2032	まもりのカード＋２
A_OTH_2033	暴走のカード＋２
A_OTH_2034	みかわしのカード＋２
A_OTH_2035	たびびとのフード＋２
A_OTH_2036	思い出のリボン＋２
A_OTH_3002	うさぎのしっぽ＋３
A_OTH_3003	竜のうろこ＋３
A_OTH_3004	ガーターベルト＋３
A_OTH_3005	怒りのタトゥー＋３
A_OTH_3006	しょくにんのベルト＋３
A_OTH_3007	しんごんのじゅず＋３
A_OTH_3008	おしゃれなベルト＋３
A_OTH_3009	パワーベルト＋３
A_OTH_3010	ひらめきのジュエル＋３
A_OTH_3011	まよけの聖印＋３
A_OTH_3012	あくまのしっぽ＋３
A_OTH_3013	まもりのルビー＋３
A_OTH_3014	大地の竜玉＋３
A_OTH_3015	竜のおまもり＋３
A_OTH_3016	ロイヤルチャーム＋３
A_OTH_3017	ビーナスのなみだ＋３
A_OTH_3018	ロイヤルバッジ＋３
A_OTH_3019	エルフのおまもり＋３
A_OTH_3022	ハンサムスカーフ＋３
A_OTH_3023	カリスマスカーフ＋３
A_OTH_3025	エッチな本＋３
A_OTH_3026	イメチェンリング＋３
A_OTH_3027	いやしのカード＋３
A_OTH_3028	いのりのカード＋３
A_OTH_3029	会心のカード＋３
A_OTH_3030	集中のカード＋３
A_OTH_3031	しっぷうのカード＋３
A_OTH_3032	まもりのカード＋３
A_OTH_3033	暴走のカード＋３
A_OTH_3034	みかわしのカード＋３
A_OTH_3035	たびびとのフード＋３
A_OTH_3036	思い出のリボン＋３
A_SHO_0001	英雄のブーツ
A_SHO_0002	りせいのサンダル
A_SHO_0003	天使のサンダル
A_SHO_0004	大天使のブーツ
A_SHO_0005	ジェネラルブーツ
A_SHO_0006	マーシャルブーツ
A_SHO_1001	英雄のブーツ＋１
A_SHO_1002	りせいのサンダル＋１
A_SHO_1003	天使のサンダル＋１
A_SHO_1004	大天使のブーツ＋１
A_SHO_1005	ジェネラルブーツ＋１
A_SHO_1006	マーシャルブーツ＋１
A_SHO_2001	英雄のブーツ＋２
A_SHO_2002	りせいのサンダル＋２
A_SHO_2003	天使のサンダル＋２
A_SHO_2004	大天使のブーツ＋２
A_SHO_2005	ジェネラルブーツ＋２
A_SHO_2006	マーシャルブーツ＋２
A_SHO_3001	英雄のブーツ＋３
A_SHO_3002	りせいのサンダル＋３
A_SHO_3003	天使のサンダル＋３
A_SHO_3004	大天使のブーツ＋３
A_SHO_3005	ジェネラルブーツ＋３
A_SHO_3006	マーシャルブーツ＋３
E_ARM_0001	皮のよろい
E_ARM_0002	うろこのよろい
E_ARM_0003	くさりかたびら
E_ARM_0004	せいどうのよろい
E_ARM_0005	てつのむねあて
E_ARM_0006	てつのよろい
E_ARM_0007	カメのこうら
E_ARM_0008	はがねのよろい
E_ARM_0009	ゾンビメイル
E_ARM_0010	ぎんのむねあて
E_ARM_0011	シルバーメイル
E_ARM_0012	あつでのよろい
E_ARM_0013	まほうのよろい
E_ARM_0014	ダンシングメイル
E_ARM_0015	ドラゴンメイル
E_ARM_0016	やいばのよろい
E_ARM_0017	プラチナメイル
E_ARM_0018	バンデットメイル
E_ARM_0019	ミラーアーマー
E_ARM_0020	メタスラよろい
E_ARM_0021	ユグノアのよろい
E_ARM_0022	デルカダールメイル
E_ARM_0023	ギガントアーマー
E_ARM_0024	はぐれメタルよろい
E_ARM_0025	しんぴのよろい
E_ARM_0026	メタルキングよろい
E_ARM_0027	しんわのよろい
E_ARM_0028	アーウィンのよろい
E_ARM_0029	英雄王のよろい
E_ARM_0030	聖騎士のよろい
E_ARM_1001	皮のよろい＋１
E_ARM_1002	うろこのよろい＋１
E_ARM_1003	くさりかたびら＋１
E_ARM_1004	せいどうのよろい＋１
E_ARM_1005	てつのむねあて＋１
E_ARM_1006	てつのよろい＋１
E_ARM_1007	カメのこうら＋１
E_ARM_1008	はがねのよろい＋１
E_ARM_1009	ゾンビメイル＋１
E_ARM_1010	ぎんのむねあて＋１
E_ARM_1011	シルバーメイル＋１
E_ARM_1012	あつでのよろい＋１
E_ARM_1013	まほうのよろい＋１
E_ARM_1014	ダンシングメイル＋１
E_ARM_1015	ドラゴンメイル＋１
E_ARM_1016	やいばのよろい＋１
E_ARM_1017	プラチナメイル＋１
E_ARM_1018	バンデットメイル＋１
E_ARM_1019	ミラーアーマー＋１
E_ARM_1020	メタスラよろい＋１
E_ARM_1021	ユグノアのよろい＋１
E_ARM_1022	デルカダールメイル＋１
E_ARM_1023	ギガントアーマー＋１
E_ARM_1024	はぐれメタルよろい＋１
E_ARM_1025	しんぴのよろい＋１
E_ARM_1026	メタルキングよろい＋１
E_ARM_1027	しんわのよろい＋１
E_ARM_1028	アーウィンのよろい＋１
E_ARM_1029	英雄王のよろい＋１
E_ARM_1030	聖騎士のよろい＋１
E_ARM_2001	皮のよろい＋２
E_ARM_2002	うろこのよろい＋２
E_ARM_2003	くさりかたびら＋２
E_ARM_2004	せいどうのよろい＋２
E_ARM_2005	てつのむねあて＋２
E_ARM_2006	てつのよろい＋２
E_ARM_2007	カメのこうら＋２
E_ARM_2008	はがねのよろい＋２
E_ARM_2009	ゾンビメイル＋２
E_ARM_2010	ぎんのむねあて＋２
E_ARM_2011	シルバーメイル＋２
E_ARM_2012	あつでのよろい＋２
E_ARM_2013	まほうのよろい＋２
E_ARM_2014	ダンシングメイル＋２
E_ARM_2015	ドラゴンメイル＋２
E_ARM_2016	やいばのよろい＋２
E_ARM_2017	プラチナメイル＋２
E_ARM_2018	バンデットメイル＋２
E_ARM_2019	ミラーアーマー＋２
E_ARM_2020	メタスラよろい＋２
E_ARM_2021	ユグノアのよろい＋２
E_ARM_2022	デルカダールメイル＋２
E_ARM_2023	ギガントアーマー＋２
E_ARM_2024	はぐれメタルよろい＋２
E_ARM_2025	しんぴのよろい＋２
E_ARM_2026	メタルキングよろい＋２
E_ARM_2027	しんわのよろい＋２
E_ARM_2028	アーウィンのよろい＋２
E_ARM_2029	英雄王のよろい＋２
E_ARM_2030	聖騎士のよろい＋２
E_ARM_3001	皮のよろい＋３
E_ARM_3002	うろこのよろい＋３
E_ARM_3003	くさりかたびら＋３
E_ARM_3004	せいどうのよろい＋３
E_ARM_3005	てつのむねあて＋３
E_ARM_3006	てつのよろい＋３
E_ARM_3007	カメのこうら＋３
E_ARM_3008	はがねのよろい＋３
E_ARM_3009	ゾンビメイル＋３
E_ARM_3010	ぎんのむねあて＋３
E_ARM_3011	シルバーメイル＋３
E_ARM_3012	あつでのよろい＋３
E_ARM_3013	まほうのよろい＋３
E_ARM_3014	ダンシングメイル＋３
E_ARM_3015	ドラゴンメイル＋３
E_ARM_3016	やいばのよろい＋３
E_ARM_3017	プラチナメイル＋３
E_ARM_3018	バンデットメイル＋３
E_ARM_3019	ミラーアーマー＋３
E_ARM_3020	メタスラよろい＋３
E_ARM_3021	ユグノアのよろい＋３
E_ARM_3022	デルカダールメイル＋３
E_ARM_3023	ギガントアーマー＋３
E_ARM_3024	はぐれメタルよろい＋３
E_ARM_3025	しんぴのよろい＋３
E_ARM_3026	メタルキングよろい＋３
E_ARM_3027	しんわのよろい＋３
E_ARM_3028	アーウィンのよろい＋３
E_ARM_3029	英雄王のよろい＋３
E_ARM_3030	聖騎士のよろい＋３
E_CLO_0001	パレードの服
E_CLO_0002	布の服
E_CLO_0003	たびびとの服
E_CLO_0004	ステテコパンツ
E_CLO_0005	騎士団の服
E_CLO_0006	皮のドレス
E_CLO_0007	レザーマント
E_CLO_0009	毛皮のポンチョ
E_CLO_0010	みかわしの服
E_CLO_0011	おしゃれなベスト
E_CLO_0012	プリティエプロン
E_CLO_0013	ラブリーエプロン
E_CLO_0014	おしゃれなスーツ
E_CLO_0015	シルクのビスチェ
E_CLO_0016	スパンコールドレス
E_CLO_0017	マジカルスカート
E_CLO_0018	ビロードマント
E_CLO_0019	竜のどうぎ
E_CLO_0020	メダ女の制服
E_CLO_0021	毛皮のベスト
E_CLO_0022	ぶどうぎ
E_CLO_0023	ひかりのドレス
E_CLO_0024	ひかりのタキシード
E_CLO_0025	きぞくのジャケット
E_CLO_0026	しっこくのマント
E_CLO_0027	聖女のドレス
E_CLO_0028	おどりこの服
E_CLO_0029	しんぴのビスチェ
E_CLO_0033	あぶない水着
E_CLO_0034	はやてのベスト
E_CLO_0035	大盗賊のマント
E_CLO_0036	ネコのきぐるみ
E_CLO_0037	ハンサムスーツ
E_CLO_0038	ユグノアのマント
E_CLO_0039	ジェネラルマント
E_CLO_0040	ドハデなスーツ
E_CLO_0042	ぶしんのドレス
E_CLO_0043	バンデッドチェイン
E_CLO_0044	はぐれメタルのベスト
