I_BON_001	beast bone
E_LSH_0010	ogre shield
E_LSH_0011	ruinous shield
E_LSH_0012	goddess shield
E_LSH_0013	drustan's shield
E_HAT_0001	bandana
E_HAT_0002	leather hat
E_HAT_0003	hairband
E_HAT_0004	pointy hat
E_HAT_0005	turban
E_HAT_0006	feathered cap
E_HAT_0007	bunny ears
E_HAT_0008	stone hardhat
E_HAT_0009	fur hood
E_HAT_0010	hermes' hat
E_HAT_0011	coral hairpin
E_HAT_0012	bronze helmet
E_HAT_0013	mercury's bandana
E_HAT_0014	silver tiara
E_HAT_0015	magical hat
E_HAT_0016	pirate's hat
E_HAT_0017	gold circlet
E_HAT_0018	thief's turban
E_HAT_0019	feather headband
E_HAT_0020	tricky turban
E_HAT_0021	hocus hat
E_HAT_0022	happy hat
E_HAT_0023	scholar's cap
E_HAT_0024	disturbin' turban
E_HAT_0025	malleable mask
E_HAT_0026	star circlet
E_HAT_0027	papillon mask
E_HAT_0028	swindler's scarf
E_HAT_0029	cat hat
E_HAT_0030	null
E_HAT_0031	null
E_HAT_0032	minister's mitre
E_HAT_0033	cavalier hat
E_HAT_0034	witch's hat
E_HAT_0035	golden tiara
E_HAT_0036	phantom mask
E_HAT_0037	freebooter's bandana
E_HAT_0038	null
E_HAT_0039	stellar starflower
E_HAT_0040	dragon bandana
E_HAT_0041	spring breeze hat
E_HAT_0042	summer cloud hat
E_HAT_0043	autumn shower hat
E_HAT_0044	winter sky hat
E_HAT_0045	pirate king's hat
E_HAT_0046	swindler king's scarf
E_HAT_0047	crown of eternity
E_HAT_0048	crown of eternity
E_HAT_0049	tiara tremenda
E_HAT_0050	xenlon hair ring
E_HAT_0051	serenica's circlet
E_HAT_0052	cute cap
E_HAT_0053	bonny band
E_HAT_0054	tiara tremendisima
E_HAT_0055	null
E_HAT_0056	corsair's cap
E_HAT_0057	trodain bandana
E_HAT_0058	artisanal trodain bandana
E_HEL_0001	iron helmet
E_HEL_0002	NULL
E_HEL_0003	iron mask
E_HEL_0004	steel helmet
E_HEL_0005	warrior's helm
E_HEL_0006	null
E_HEL_0007	platinum headgear
E_HEL_0008	iron headgear
E_HEL_0009	hade's helm
E_HEL_0010	mythril helm
E_HEL_0011	thinking cap
E_HEL_0012	raging bull helm
E_HEL_0013	great helm
E_HEL_0014	metal slime helm
E_HEL_0015	drasilian helm
E_HEL_0016	goddess's tiara
E_HEL_0017	warrior princess's headdress
E_HEL_0018	crown of dundrasil
E_HEL_0019	skull helm
E_HEL_0020	liquid metal helm
E_HEL_0021	null
E_HEL_0022	metal king helm
E_HEL_0023	heavenly helm
E_HEL_0024	erdwin's coronet
E_HEL_0025	irwin's helm
E_HEL_0026	sacred circlet
E_HEL_0027	minerva's tiara
E_HEL_0028	sun crown
E_HEL_0029	yggdrasil crown
E_HEL_0030	drustan's helm
E_HEL_0031	apollo's crown
E_CLO_0001	mardi garb
E_CLO_0002	plain cloths
E_CLO_0003	wayfarer's clothes
E_CLO_0004	boxer shorts
E_CLO_0005	templar's uniform
E_CLO_0006	leather dress
E_CLO_0007	leather cape
E_CLO_0008	null
E_CLO_0009	fur poncho
E_CLO_0010	cloak of evasion
E_CLO_0011	posh waistcoat
E_CLO_0012	pretty pinny
E_CLO_0013	dainty dress
E_CLO_0014	smart suit
E_CLO_0015	silk bustier
E_CLO_0016	spangled dress
E_CLO_0017	magical skirt
E_CLO_0018	velvet cape
E_CLO_0019	dragon dojo duds
E_CLO_0020	uniforme de l'academie
E_CLO_0021	hairy vest
E_CLO_0022	strongsam
E_CLO_0023	shimmering dress
E_CLO_0024	twinkling tuxedo
E_CLO_0025	rogue's robes
E_CLO_0026	macabre mantle
E_CLO_0027	saintess dress
E_CLO_0028	dancer's costume
E_CLO_0029	divine bustier
E_CLO_0030	null
E_CLO_0031	null
E_CLO_0032	null
E_CLO_0033	scandalous swimsuit
E_CLO_0034	agility gilet
E_CLO_0035	swindler's store
E_CLO_0036	cat suit
E_CLO_0037	dapper doublet
E_CLO_0038	drasilian dress coat
E_CLO_0039	general's jacket
E_CLO_0040	star's suit
E_CLO_0041	null
E_CLO_0042	combat costume
E_CLO_0043	brigandine
E_CLO_0044	liquid metal jacket
E_CLO_0045	superstar's suit
E_CLO_0046	freebooter's bo;ero
E_CLO_0047	null
E_CLO_0048	null
E_CLO_0049	dragonskin jacket
E_CLO_0050	metal king jacket
E_CLO_0051	exotoga
E_CLO_0052	erdwin's tunic
E_CLO_0053	pirate king's coat
E_CLO_0054	swindler king's stole
E_CLO_0055	serenica's surplice
E_CLO_0056	sacred raiment
E_CLO_0057	glad rags
E_CLO_0058	dashing doublet
E_CLO_0059	xenlon gown
E_CLO_0060	pallium regale
E_CLO_0061	yggdrasil dress coat
E_CLO_0062	field marshal's finery
E_CLO_0063	cobblestone clobber
E_CLO_0064	bunny suit
E_CLO_0065	corsair's coat
E_CLO_0066	potentate's palliun
E_CLO_0067	gladder rags
E_CLO_0068	hot bikini
E_CLO_0069	arriviste's vest
E_CLO_0070	elevating vest
E_CLO_0071	vest for sucess
E_CLO_0072	trodain togs
E_CLO_0073	artisanal trodain togs
E_ARM_0001	leather armour
E_ARM_0002	scale armour
E_ARM_0003	chain mail
E_ARM_0004	bronze armour
E_ARM_0005	iron cuirass
E_ARM_0006	iron armour
E_ARM_0007	tortoise shell
E_ARM_0008	full plate armour
E_ARM_0009	zombie mail
E_ARM_0010	silver cuirass
E_ARM_0011	silver mail
E_ARM_0012	heavy armour
E_ARM_0013	magic armour
E_ARM_0014	dancer's mail
E_ARM_0015	dragon mail
E_ARM_0016	spiked mail
E_ARM_0017	platinum mail
E_ARM_0018	bandit mail
E_ARM_0019	mirror armour
E_ARM_0020	metal slime armour
E_ARM_0021	drasilian armour
E_ARM_0022	hendrik's armour
E_ARM_0023	gigant armour
E_ARM_0024	liquid metal armour
E_ARM_0025	sacred armour
E_ARM_0026	metal king armour
E_ARM_0027	legendary armour
E_ARM_0028	irwin's armour
E_ARM_0029	drustan's armour
E_ARM_0030	gallopolitan armour
E_ROB_0001	silk robe
E_ROB_0002	fizzle-retardant suit
E_ROB_0003	fizzle-retardant blouse
E_ROB_0004	robe of serenity
E_ROB_0005	magic vestment
E_ROB_0006	glombolero
E_ROB_0007	sage's robe
E_ROB_0008	wizard's robe
E_ROB_0009	witch's robe
E_ROB_0010	prince's pea coat
E_ROB_0011	king's coat
E_ROB_0012	queen's robe
E_ROB_0013	emperor's attire
E_ROB_0014	empress's robe
E_ROB_0015	warrior'princess's dress
E_ROB_0016	angel's robe
E_ROB_0017	crimson robe
E_ROB_0018	flowing dress
E_ROB_0019	dark robe
E_ROB_0020	dragon robe
E_ROB_0021	seraph's robe
E_ROB_0022	gown of eternity
E_ROB_0023	minerva's raiment
E_ROB_0024	princess's robe
A_FAC_0001	slime earrings
A_FAC_0002	safty goggles
A_FAC_0003	asbestos earrings
A_FAC_0004	antifreeze earrings
A_FAC_0005	rubber earrings
A_FAC_0006	aerofoil earrings
A_FAC_0007	concrete earrings
A_FAC_0008	mirror earrings
A_FAC_0009	cinderblock earrings
A_FAC_0010	all-weather earrings
A_FAC_0011	blackout earrings
A_FAC_0012	scholar's specs
A_NEC_0001	wings of serendipty
A_NEC_0002	gold rosary
A_NEC_0003	null
A_NEC_0004	necklace of immunity
A_NEC_0005	full moon colar
A_NEC_0006	rousing rose collar
A_NEC_0007	star of clarity
A_NEC_0008	care riviere
A_NEC_0009	torc of truth
A_NEC_0010	protective pendant
A_NEC_0011	choker of riddance
A_NEC_0012	gold chain
A_NEC_0013	token of fealty
A_NEC_0014	dogged colar
A_NEC_0015	bow tie
A_NEC_0016	papillon pendant
A_NEC_0017	pirate king's pendant
A_ARM_0001	gold bracer
A_ARM_0002	life bracer
A_ARM_0003	wristorative
A_ARM_0004	mighty armlet
A_ARM_0005	spirit bracer
A_ARM_0006	brainy bracer
A_ARM_0007	meteorite bracer
A_HAN_0001	robber's gloves
A_HAN_0002	mayoress's mittens
A_HAN_0003	gloomy gloves
A_HAN_0004	null
A_HAN_0005	murky mittens
A_HAN_0006	brigand's mitts
A_HAN_0007	guru's gloves
A_HAN_0008	marquess's mittens
A_HAN_0009	freebooter's gloves
A_HAN_0010	enchantress's gloves
A_HAN_0011	minister's mitts
A_HAN_0012	monarch's mittens
A_FIN_0001	circle of serendipity
A_FIN_0002	strength ring
A_FIN_0003	pink pearl ring
A_FIN_0004	prayer ring
A_FIN_0005	care ring
A_FIN_0006	ring of riddance
A_FIN_0007	gold ring
A_FIN_0008	ring of immunity
A_FIN_0009	ring of truth
A_FIN_0010	full mon ring
A_FIN_0011	rouding ring
A_FIN_0012	ring of clarity
A_FIN_0013	sorcerer's ring
A_FIN_0014	agility ring
A_FIN_0015	skull ring
A_FIN_0016	life ring
A_FIN_0017	catholicon ring
A_FIN_0018	godess ring
A_FOO_0001	fishnet stockings
A_SHO_0001	springheel boots
A_SHO_0002	caligae of clarity
A_SHO_0003	angel's sandals
A_SHO_0004	archangel's boots
A_SHO_0005	general's boots
A_SHO_0006	field marshal's footwear
A_OTH_0001	gemma's charm
A_OTH_0002	bunny tail
A_OTH_0003	dragon scale
A_OTH_0004	garter
A_OTH_0005	tough guy tattoo
A_OTH_0006	utility belt
A_OTH_0007	rosary
A_OTH_0008	bling-bling belt
A_OTH_0009	titan belt
A_OTH_0010	sorcerer's stone
A_OTH_0011	holy talisman
A_OTH_0012	devil's tail
A_OTH_0013	ruby of protection
A_OTH_0014	earthwyrm's eye
A_OTH_0015	lucky dragon's wing
A_OTH_0016	sovereign seal
A_OTH_0017	venus'tear
A_OTH_0018	monarchic mark
A_OTH_0019	elfin charm
A_OTH_0020	null
A_OTH_0021	null
A_OTH_0022	natty cravat
A_OTH_0023	suave scarf
A_OTH_0024	gemma's eternal charm
A_OTH_0025	ogler's digest
A_OTH_0026	ring of changes
A_OTH_0027	healer
A_OTH_0028	supplicant
A_OTH_0029	assassin
A_OTH_0030	mystic
A_OTH_0031	vanguard
A_OTH_0032	shield-bearer
A_OTH_0033	warlock
A_OTH_0034	trickster
A_OTH_0035	traveller's hood
A_OTH_0036	bell's bow
W_SWD_1001	cobblestone sword +1
W_SWD_1002	copper sword +1
W_SWD_1003	soldier's sword +1
W_SWD_1004	bronze sword +1
W_SWD_1005	rapier +1
W_SWD_1006	iron broadsword +1
W_SWD_1007	sylvando's sword +1
W_SWD_1008	cautery sword +1
W_SWD_1009	silver rapier +1
W_SWD_1010	steel broadsword +1
W_SWD_1011	bastard sword +1
W_SWD_1012	bandit blade +1
W_SWD_1013	falcon blade +1
W_SWD_1014	zombiesbane +1
W_SWD_1015	platinum sword +1
W_SWD_1016	zombie slayer +1
W_SWD_1017	aurora blade +1
W_SWD_1018	fizzle foil +1
W_SWD_1019	dragonsbane +1
W_SWD_1020	miracle sword +1
W_SWD_1021	fire blade +1
W_SWD_1022	sword of light +1
W_SWD_1023	NULL +1
W_SWD_1024	metal slime sword +1
W_SWD_1025	stardust sword +1
W_SWD_1026	uber miracle sword +1
W_SWD_1027	uber falcon blade +1
W_SWD_1028	inferno blade +1
W_SWD_1029	nebula sword +1
W_SWD_1030	dragon slayer +1
W_SWD_1031	liquid metal sword +1
W_SWD_1032	supernova sword +1
W_SWD_1033	thunderstorm sword +1
W_SWD_1034	thousand-fold katana +1
W_SWD_1035	sword of judgment +1
W_SWD_1036	super sword of light +1
W_SWD_1037	drustan's sword +1
W_SWD_1038	shamshir of light +1
W_SWD_1039	hell sabre +1
W_SWD_1040	metal king sword +1
W_SWD_1041	hypernova sword +1
W_SWD_1042	heliodorian sword +1
W_SWD_1043	NULL +1
W_SWD_1044	supreme sword of light +1
W_SWD_1045	cypress stick +1
W_TSW_1001	copper chopper +1
W_TSW_1002	broad sword +1
W_TSW_1003	cast-iron claymore +1
W_TSW_1004	broader sword +1
W_TSW_1005	black blade +1
W_TSW_1006	carbon steel claymore +1
W_TSW_1007	banishing blade +1
W_TSW_1008	razer-wing +1
W_TSW_1009	night cleaver +1
W_TSW_1010	platinum powersword +1
W_TSW_1011	hendrik's greatsword +1
W_TSW_1012	demonsbane +1
W_TSW_1013	brimstone blade +1
W_TSW_1014	wyrmfang +1
W_TSW_1015	metal gooreatsword +1
W_TSW_1016	lord's sword +1
W_TSW_1017	skysteel sword +1
W_TSW_1018	liquid metal Gooreatsword +1
W_TSW_1019	legate's blade +1
W_TSW_1020	berserker's blade +1
W_TSW_1021	brilliant blade +1
W_TSW_1022	metal king gooreatsword +1
W_TSW_1023	cobblestone greatsword +1
W_TSW_1024	sword of shadows +1
W_TSW_1025	sword of shadows +1
W_DGR_1001	erik's dagger +1
W_DGR_1002	bronze knife +1
W_DGR_1003	poison needle +1
W_DGR_1004	divine dagger +1
W_DGR_1005	poison moth knife +1
W_DGR_1006	butterfly knife +1
W_DGR_1007	assassin's dagger +1
W_DGR_1008	dread dagger +1
W_DGR_1009	eagle dagger +1
W_DGR_1010	nobleman's knife +1
W_DGR_1011	bloodletter +1
W_DGR_1012	sword breaker +1
W_DGR_1013	fenrir fang +1
W_DGR_1014	soul breaker +1
W_DGR_1015	icicle dirk +1
W_DGR_1016	serpentscale skean +1
W_DGR_1017	imp knife +1
W_DGR_1018	gladius +1
W_DGR_1019	falcon knife earring +1
W_DGR_1020	flame tang +1
W_DGR_1021	deft dagger +1
W_DGR_1022	high-born blade +1
W_DGR_1023	knife of strife +1
W_DGR_1024	darting dagger +1
W_DGR_1025	gryphon's wing +1
W_DGR_1026	NULL +1
W_DGR_1027	thunderstorm skean +1
W_DGR_1028	el stupendo +1
W_DGR_1029	timeshear +1
W_DGR_1030	dynamo dagger +1
W_BOO_1001	edged boomerang +1
W_BOO_1002	null +1
W_BOO_1003	crucerang +1
W_BOO_1004	null +1
W_BOO_1005	soarin' steel +1
W_BOO_1006	flametang boomerang +1
W_BOO_1007	winter's wing +1
W_BOO_1008	magic circle +1
W_BOO_1009	banefire boomerang +1
W_BOO_1010	star cross +1
W_BOO_1011	pentarang +1
W_BOO_1012	metal goomerang +1
W_BOO_1013	meteorang +1
W_BOO_1014	asterang +1
W_BOO_1015	null +1
W_BOO_1016	liquid metal goomerang +1
W_BOO_1017	dark star +1
W_BOO_1018	hunter's moon +1
W_BOO_1019	galaxarang +1
W_BOO_1020	metal king goomerang +1
W_BOO_1021	birchwood boomerang +1
W_BOO_1022	boomerang +1
W_ROD_1001	faerie staff +1
W_ROD_1002	veronica's staff +1
W_ROD_1003	wizard's staff +1
W_ROD_1004	staff of sentencing +1
W_ROD_1005	shiverstick +1
